StockPriceFourYearsGrowth,AssetsLiabilitiesFourYearsGrowth,StockSharesFourYearsGrowth,FCFFourYearsGrowth,ProfitMarginFourYearsGrowth,NetIncomeFourYearsGrowth,RevenueFourYearsGrowth,StockSharesGrowth2021,StockSharesGrowth2020,StockSharesGrowth2019,FCFGrowth2021,FCFGrowth2020,FCFGrowth2019,ProfitMarginGrowth2021,ProfitMarginGrowth2020,ProfitMarginGrowth2019,NetIncomeGrowth2021,NetIncomeGrowth2020,NetIncomeGrowth2019,RevenueGrowth2021,RevenueGrowth2020,RevenueGrowth2019
6.38,400.29,498.48,129138.18,14.8,665.47,150.79,7.6,430.39,4.86,26.62,158.71,39490.6,7.97,5.79,1.04,665.46,183.64,11.68,70.67,28.31,14.52
31.14,-41.12,245.46,44.96,3.66,59.04,36.74,-3.24,282.08,-6.56,26.7,24.57,-8.15,4.94,-0.4,-0.88,64.92,3.9,-7.18,33.7,5.86,-3.39
45.49,62.75,-2.34,70.28,5.32,85.37,58.8,-0.73,-0.69,-0.94,16.09,24.06,18.23,0.17,5.41,-0.26,18.72,38.37,12.85,18.18,18.1,13.77
233.91,184.86,313.53,158.73,0.71,135.5,130.86,304.19,1.31,0.99,73.24,9.88,35.92,10.25,0.37,-9.91,125.12,54.94,-32.48,61.4,52.73,-6.35
-30.17,202.54,1.69,95.38,9.56,322.4,88.03,0.24,0.93,0.51,-106.84,161.43,-10.02,6.18,1.79,1.59,85.28,47.91,54.13,18.81,24.01,27.62
49.33,41.66,-4.81,193.5,7.05,147.37,88.3,-1.94,-1.91,-1.04,56.41,38.33,35.65,7.45,0.84,-1.25,88.81,17.26,11.74,41.15,12.77,18.3
9.9,48.44,-3.86,154.68,-6.33,78.05,111.76,-3.15,0.11,-0.83,65.52,11.41,38.11,-0.53,7.77,-13.57,35.08,57.67,-16.4,37.23,21.61,26.89
-75.04,41.21,-0.51,4.98,3.12,102.67,64.2,-0.34,-0.09,-0.09,-8.67,58.98,-27.7,-3.15,5.75,0.52,-0.79,70.88,19.54,18.26,20.72,15.02
-62.73,75.85,3.81,-11.73,-16.02,-29.17,126.37,-0.89,2.98,1.71,-52.57,39.48,33.44,-13.7,-8.32,6,-58.66,0.77,70.03,18.93,40.72,35.26
-16.05,29.4,0,4.56,3.05,67.72,53.91,0,0,0,-12.77,107.17,-42.14,-1.57,6.4,-1.78,13.72,50,-1.67,18.53,25.16,3.75
